Problem Name	Problem Link	Topic	Solution Link	Difficulty
Maximum and Minimum Element in an Array	https://www.geeksforgeeks.org/maximum-and-minimum-in-an-array/	Arrays		Easy
Reverse the Array	https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string/	Arrays		Easy
Maximum-Subarray	https://leetcode.com/problems/maximum-subarray/	Arrays		Easy
Contains Duplicate	https://leetcode.com/problems/contains-duplicate/	Arrays		Easy
Chocolate Distribution Problem	https://www.geeksforgeeks.org/chocolate-distribution-problem/	Arrays		Easy
Search in Rotated Sorted Array	https://leetcode.com/problems/search-in-rotated-sorted-array/	Arrays		Easy
Next Permutation	https://leetcode.com/problems/next-permutation/	Arrays		Medium
Best time to Buy and Sell Stock	https://leetcode.com/problems/best-time-to-buy-and-sell-stock/	Arrays		Medium
Repeat and Missing Number Array	https://www.interviewbit.com/problems/repeat-and-missing-number-array/	Arrays		Medium
Kth-Largest Element in an Array	https://leetcode.com/problems/kth-largest-element-in-an-array/	Arrays		Medium
Trapping Rain Water	https://leetcode.com/problems/trapping-rain-water/	Arrays		Medium
Product of Array Except Self	https://leetcode.com/problems/product-of-array-except-self/	Arrays		Medium
Maximum Product Subarray	https://leetcode.com/problems/maximum-product-subarray/	Arrays		Medium
Find Minimum in Rotated Sorted Array	https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/	Arrays		Medium
Find Pair with Sum in Sorted & Rotated Array	https://www.geeksforgeeks.org/given-a-sorted-and-rotated-array-find-if-there-is-a-pair-with-a-given-sum/?ref=lbp	Arrays		Medium
3Sum	https://leetcode.com/problems/3sum/	Arrays		Medium
Container With Most Water	https://leetcode.com/problems/container-with-most-water/	Arrays		Medium
Given Sum Pair	https://www.geeksforgeeks.org/given-a-sorted-and-rotated-array-find-if-there-is-a-pair-with-a-given-sum/	Arrays		Medium
Kth - Smallest Element	https://practice.geeksforgeeks.org/problems/kth-smallest-element5635/1	Arrays		Medium
Merge Overlapping Intervals	https://www.geeksforgeeks.org/merging-intervals/	Arrays		Medium
Find Minimum Number of Merge Operations to Make an Array Palindrome	https://www.geeksforgeeks.org/find-minimum-number-of-merge-operations-to-make-an-array-palindrome/	Arrays		Medium
Given an Array of Numbers Arrange the Numbers to Form the Biggest Number	https://www.geeksforgeeks.org/given-an-array-of-numbers-arrange-the-numbers-to-form-the-biggest-number/	Arrays		Medium
Space Optimization Using Bit Manipulations	https://www.geeksforgeeks.org/space-optimization-using-bit-manipulations/	Arrays		Medium
Subarray Sum Divisible K	https://www.geeksforgeeks.org/longest-subarray-sum-divisible-k/	Arrays		Hard
Print all Possible Combinations of r Elements in a Given Array of Size n	https://www.geeksforgeeks.org/print-all-possible-combinations-of-r-elements-in-a-given-array-of-size-n/	Arrays		Hard
Mo's Algorithm	https://www.geeksforgeeks.org/mos-algorithm-query-square-root-decomposition-set-1-introduction/	Arrays		Hard
Valid Palindrome	https://leetcode.com/problems/valid-palindrome/	Strings		Easy
Valid Anagram	https://leetcode.com/problems/valid-anagram/	Strings		Easy
Valid parentheses	https://leetcode.com/problems/valid-parentheses/	Strings		Easy
Remove Consecutive Characters	https://practice.geeksforgeeks.org/problems/consecutive-elements2306/1	Strings		Easy
Longest Common Prefix	https://leetcode.com/problems/longest-common-prefix/	Strings		Easy
Convert a Sentence into its Equivalent Mobile Numeric Keypad Sequence	https://www.geeksforgeeks.org/convert-sentence-equivalent-mobile-numeric-keypad-sequence/	Strings		Easy
Print all the Duplicates in the Input String	https://www.geeksforgeeks.org/print-all-the-duplicates-in-the-input-string/	Strings		Easy
Longest Substring without Repeating Characters	https://leetcode.com/problems/longest-substring-without-repeating-characters/	Strings		Medium
Longest Repeating Character Replacement	https://leetcode.com/problems/longest-repeating-character-replacement/	Strings		Medium
Group Anagrams	https://leetcode.com/problems/group-anagrams/	Strings		Medium
Longest Palindromic Substring	https://leetcode.com/problems/longest-palindromic-substring/	Strings		Medium
Palindromic Substrings	https://leetcode.com/problems/palindromic-substrings/	Strings		Medium
Next Permutation	https://practice.geeksforgeeks.org/problems/next-permutation5226/1	Strings		Medium
Count Palindromic Subsequences	https://practice.geeksforgeeks.org/problems/count-palindromic-subsequences/1	Strings		Medium
Smallest Window in a String Containing all the Characters of Another String	https://practice.geeksforgeeks.org/problems/smallest-window-in-a-string-containing-all-the-characters-of-another-string-1587115621/1	Strings		Medium
Wildcard String Matching	https://practice.geeksforgeeks.org/problems/wildcard-string-matching1126/1	Strings		Medium
Longest Prefix Suffix	https://practice.geeksforgeeks.org/problems/longest-prefix-suffix2527/1	Strings		Medium
Rabin-Karp Algorithm for Pattern Searching	https://www.geeksforgeeks.org/rabin-karp-algorithm-for-pattern-searching/	Strings		Medium
Transform One String to Another using Minimum Number of Given Operation	https://www.geeksforgeeks.org/transform-one-string-to-another-using-minimum-number-of-given-operation/	Strings		Medium
Minimum Window Substring	https://leetcode.com/problems/minimum-window-substring/	Strings		Hard
Boyer Moore Algorithm for Pattern Searching	https://www.geeksforgeeks.org/boyer-moore-algorithm-for-pattern-searching/	Strings		Hard
Word Wrap	https://practice.geeksforgeeks.org/problems/word-wrap1646/1	Strings		Hard
Zigzag (or diagonal) Traversal of Matrix	https://www.geeksforgeeks.org/zigzag-or-diagonal-traversal-of-matrix/	2D Arrays		Medium
Set Matrix Zeroes	https://leetcode.com/problems/set-matrix-zeroes/	2D Arrays		Medium
Spiral Matrix	https://leetcode.com/problems/spiral-matrix/	2D Arrays		Medium
